listing_id,neighbourhood_cleansed,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,total_days,total_occupied_days,occupancy_rate
42022909,East Harlem,Private room,2,32,4.94,False,365,186,0.5095890410958904
51278279,East Harlem,Private room,1,0,,False,365,365,1.0
740446516694389016,Upper East Side,Entire home/apt,6,2,5.0,False,365,129,0.3534246575342465
9405466,Upper West Side,Entire home/apt,2,1,5.0,False,365,365,1.0
33394700,Sheepshead Bay,Private room,2,4,4.25,False,365,365,1.0
736985964339692199,Crown Heights,Private room,2,56,4.84,False,365,365,1.0
7064,Williamsburg,Private room,2,13,4.91,False,365,365,1.0
968909763063437946,Hell's Kitchen,Private room,1,8,5.0,True,365,104,0.284931506849315
1053110011763035222,Bedford-Stuyvesant,Entire home/apt,3,0,,False,365,97,0.2657534246575342
687698474968214276,East Village,Entire home/apt,3,29,4.69,False,365,12,0.0328767123287671
21943047,Williamsburg,Private room,1,3,5.0,False,365,365,1.0
1100992020810585156,Upper East Side,Entire home/apt,2,0,,False,365,96,0.2630136986301369
39921579,Midtown,Private room,2,1,4.0,True,365,365,1.0
44102245,Upper East Side,Entire home/apt,2,104,4.83,False,365,231,0.6328767123287671
53604779,Midtown,Private room,2,2,5.0,False,365,365,1.0
18637270,Crown Heights,Private room,2,8,5.0,False,365,365,1.0
20193830,Clinton Hill,Entire home/apt,2,141,4.99,True,365,172,0.4712328767123287
51782007,Parkchester,Entire home/apt,2,3,5.0,False,365,1,0.0027397260273972
1534096257671828138,Upper East Side,Entire home/apt,2,1,5.0,False,365,57,0.1561643835616438
824708897502231070,Kips Bay,Entire home/apt,6,0,,False,365,270,0.7397260273972602
19618401,Lower East Side,Private room,2,0,,False,365,277,0.758904109589041
4784846,Bushwick,Private room,2,8,3.88,False,365,365,1.0
18689588,Bedford-Stuyvesant,Entire home/apt,2,6,4.83,False,365,365,1.0
3241287,Washington Heights,Private room,2,13,4.69,False,365,365,1.0
17122439,East Harlem,Entire home/apt,2,292,4.86,True,365,78,0.2136986301369863
14963583,Harlem,Private room,2,3,4.67,False,365,365,1.0
873086414676039507,Bushwick,Entire home/apt,2,4,5.0,False,365,276,0.7561643835616438
