"listing_id","neighbourhood_cleansed","room_type","accommodates","number_of_reviews","review_scores_rating","host_is_superhost","total_days","total_occupied_days","occupancy_rate"
"582678773466303522","Bushwick","Entire home/apt",1,11,"5.00",True,"365","156","0.42739726027397260274"
"1193544361676194650","Chelsea","Entire home/apt",1,4,"3.75",True,"365","235","0.64383561643835616438"
"1448128439492466979","Morrisania","Private room",2,0,NULL,False,"365","0","0.00000000000000000000"
"864683250052604503","Sunset Park","Private room",2,8,"5.00",False,"365","194","0.53150684931506849315"
"1390142398814111039","Crown Heights","Private room",1,0,NULL,False,"365","1","0.00273972602739726027"
"54319024","Longwood","Private room",2,1,"5.00",True,"365","1","0.00273972602739726027"
"994794812600733748","Hell's Kitchen","Entire home/apt",4,0,NULL,False,"365","177","0.48493150684931506849"
"1523825526552956109","Astoria","Entire home/apt",8,0,NULL,False,"365","13","0.03561643835616438356"
"48810194","Woodside","Private room",2,0,NULL,False,"365","365","1.00000000000000000000"
"654213698930297417","Chelsea","Entire home/apt",2,2,"5.00",False,"365","181","0.49589041095890410959"
"13209482","East Village","Entire home/apt",3,18,"4.17",False,"365","365","1.00000000000000000000"
"213330","Chinatown","Private room",2,98,"4.96",True,"365","41","0.11232876712328767123"
"1072490292073582343","Ozone Park","Private room",6,9,"5.00",False,"365","322","0.88219178082191780822"
"42022909","East Harlem","Private room",2,32,"4.94",False,"365","186","0.50958904109589041096"
"51278279","East Harlem","Private room",1,0,NULL,False,"365","365","1.00000000000000000000"
"740446516694389016","Upper East Side","Entire home/apt",6,2,"5.00",False,"365","129","0.35342465753424657534"
"9405466","Upper West Side","Entire home/apt",2,1,"5.00",False,"365","365","1.00000000000000000000"
"33394700","Sheepshead Bay","Private room",2,4,"4.25",False,"365","365","1.00000000000000000000"
"736985964339692199","Crown Heights","Private room",2,56,"4.84",False,"365","365","1.00000000000000000000"
"7064","Williamsburg","Private room",2,13,"4.91",False,"365","365","1.00000000000000000000"
"968909763063437946","Hell's Kitchen","Private room",1,8,"5.00",True,"365","104","0.28493150684931506849"
"1053110011763035222","Bedford-Stuyvesant","Entire home/apt",3,0,NULL,False,"365","97","0.26575342465753424658"
"687698474968214276","East Village","Entire home/apt",3,29,"4.69",False,"365","12","0.03287671232876712329"
"21943047","Williamsburg","Private room",1,3,"5.00",False,"365","365","1.00000000000000000000"
"1100992020810585156","Upper East Side","Entire home/apt",2,0,NULL,False,"365","96","0.26301369863013698630"
"39921579","Midtown","Private room",2,1,"4.00",True,"365","365","1.00000000000000000000"
"44102245","Upper East Side","Entire home/apt",2,104,"4.83",False,"365","231","0.63287671232876712329"
"53604779","Midtown","Private room",2,2,"5.00",False,"365","365","1.00000000000000000000"
"18637270","Crown Heights","Private room",2,8,"5.00",False,"365","365","1.00000000000000000000"
"20193830","Clinton Hill","Entire home/apt",2,141,"4.99",True,"365","172","0.47123287671232876712"
"51782007","Parkchester","Entire home/apt",2,3,"5.00",False,"365","1","0.00273972602739726027"
"1534096257671828138","Upper East Side","Entire home/apt",2,1,"5.00",False,"365","57","0.15616438356164383562"
"824708897502231070","Kips Bay","Entire home/apt",6,0,NULL,False,"365","270","0.73972602739726027397"
"19618401","Lower East Side","Private room",2,0,NULL,False,"365","277","0.75890410958904109589"
"4784846","Bushwick","Private room",2,8,"3.88",False,"365","365","1.00000000000000000000"
"18689588","Bedford-Stuyvesant","Entire home/apt",2,6,"4.83",False,"365","365","1.00000000000000000000"
"3241287","Washington Heights","Private room",2,13,"4.69",False,"365","365","1.00000000000000000000"
"17122439","East Harlem","Entire home/apt",2,292,"4.86",True,"365","78","0.21369863013698630137"
"14963583","Harlem","Private room",2,3,"4.67",False,"365","365","1.00000000000000000000"
"873086414676039507","Bushwick","Entire home/apt",2,4,"5.00",False,"365","276","0.75616438356164383562"
"595491366424087670","Midtown","Entire home/apt",2,0,NULL,False,"365","59","0.16164383561643835616"
"1506514494771990276","Lower East Side","Entire home/apt",2,0,NULL,True,"365","0","0.00000000000000000000"
"16237242","Williamsburg","Entire home/apt",4,6,"4.50",False,"365","365","1.00000000000000000000"
"31459394","Upper East Side","Entire home/apt",3,6,"4.33",False,"365","0","0.00000000000000000000"
"779776296413227357","Greenwich Village","Entire home/apt",1,9,"4.78",False,"365","278","0.76164383561643835616"
"848627681349272330","Upper East Side","Entire home/apt",2,5,"4.00",False,"365","26","0.07123287671232876712"
"6919971","Upper West Side","Entire home/apt",2,1,"5.00",False,"365","365","1.00000000000000000000"
"822706296375987906","Bushwick","Private room",4,3,"5.00",False,"365","0","0.00000000000000000000"
"9915643","Prospect-Lefferts Gardens","Private room",2,273,"4.90",False,"365","0","0.00000000000000000000"
"22703920","Canarsie","Private room",2,24,"4.71",False,"365","365","1.00000000000000000000"
"26896131","Prospect Heights","Entire home/apt",3,4,"4.75",False,"365","365","1.00000000000000000000"
"1155914477966679546","Midtown","Entire home/apt",2,18,"4.61",False,"365","57","0.15616438356164383562"
"836969659440950649","Chelsea","Entire home/apt",6,7,"4.57",True,"365","208","0.56986301369863013699"
"1515582981814972231","South Slope","Entire home/apt",7,0,NULL,False,"365","192","0.52602739726027397260"
"54292164","Chelsea","Entire home/apt",2,13,"4.62",False,"365","94","0.25753424657534246575"
"1564556629885587462","East Village","Entire home/apt",2,0,NULL,False,"365","272","0.74520547945205479452"
"47508411","Gramercy","Entire home/apt",2,43,"4.74",False,"365","365","1.00000000000000000000"
"12344255","Sheepshead Bay","Entire home/apt",2,0,NULL,False,"365","365","1.00000000000000000000"
"12408554","Bushwick","Private room",1,0,NULL,False,"365","365","1.00000000000000000000"
"9079871","East Flatbush","Entire home/apt",8,292,"4.66",False,"365","27","0.07397260273972602740"
"752289","SoHo","Entire home/apt",2,16,"4.81",False,"365","161","0.44109589041095890411"
"572326237669668984","Midtown","Entire home/apt",4,1,"1.00",False,"365","128","0.35068493150684931507"
"1085122041734203848","Sunset Park","Private room",1,6,"5.00",False,"365","278","0.76164383561643835616"
"650494137473244378","Bedford-Stuyvesant","Entire home/apt",4,29,"4.97",True,"365","345","0.94520547945205479452"
"813554","Park Slope","Entire home/apt",2,38,"4.95",False,"365","365","1.00000000000000000000"
"865605175906629028","Bedford-Stuyvesant","Entire home/apt",2,0,NULL,False,"365","0","0.00000000000000000000"
"52221919","Harlem","Private room",2,13,"4.92",False,"365","2","0.00547945205479452055"
"729851909412860042","Concourse","Private room",1,10,"4.60",False,"365","58","0.15890410958904109589"
"721630571917703682","Park Slope","Private room",1,0,NULL,False,"365","0","0.00000000000000000000"
"692387294521905195","Washington Heights","Private room",1,0,NULL,False,"365","309","0.84657534246575342466"
"1288223732677733582","Washington Heights","Private room",1,0,NULL,False,"365","365","1.00000000000000000000"
"1171048735255126040","East Flatbush","Private room",4,0,NULL,False,"365","276","0.75616438356164383562"
"53280628","Williamsburg","Private room",1,3,"4.67",False,"365","29","0.07945205479452054795"
"47939524","Crown Heights","Private room",1,184,"4.82",False,"365","313","0.85753424657534246575"
"907422793177630168","Prospect-Lefferts Gardens","Private room",1,2,"5.00",False,"365","179","0.49041095890410958904"
"33529806","Sheepshead Bay","Entire home/apt",1,5,"4.40",False,"365","365","1.00000000000000000000"
"48361053","Greenpoint","Entire home/apt",4,13,"4.92",False,"365","365","1.00000000000000000000"
"1264002589926448873","Ozone Park","Private room",1,2,"4.50",True,"365","240","0.65753424657534246575"
"34485693","Midtown","Private room",2,0,NULL,False,"365","49","0.13424657534246575342"
"1163898717571709199","Midtown","Entire home/apt",2,0,NULL,False,"365","2","0.00547945205479452055"
"827438472468771617","East Harlem","Entire home/apt",2,1,"5.00",False,"365","1","0.00273972602739726027"
"1476732023886181140","Chinatown","Entire home/apt",2,0,NULL,False,"365","61","0.16712328767123287671"
"1250311553581512433","Springfield Gardens","Private room",2,12,"5.00",False,"365","13","0.03561643835616438356"
"2165107","Upper East Side","Entire home/apt",2,34,"4.56",False,"365","365","1.00000000000000000000"
"7065653","Kips Bay","Entire home/apt",5,6,"4.67",False,"365","365","1.00000000000000000000"
"9613541","Astoria","Private room",2,0,NULL,False,"365","365","1.00000000000000000000"
"52834797","Harlem","Entire home/apt",2,8,"5.00",False,"365","365","1.00000000000000000000"
"1564557109840064891","Stuyvesant Town","Private room",1,0,NULL,False,"365","189","0.51780821917808219178"
"51889217","Rego Park","Private room",2,0,NULL,False,"365","365","1.00000000000000000000"
"36101436","Bay Ridge","Private room",1,89,"4.97",True,"365","126","0.34520547945205479452"
"47803501","Bedford-Stuyvesant","Private room",1,114,"4.61",True,"365","46","0.12602739726027397260"
"53088652","Rosebank","Entire home/apt",4,57,"4.32",False,"365","124","0.33972602739726027397"
"45884646","Williamsburg","Entire home/apt",2,0,NULL,True,"365","87","0.23835616438356164384"
"818227802719333778","East Flatbush","Entire home/apt",10,19,"5.00",False,"365","215","0.58904109589041095890"
"27503062","Inwood","Private room",2,25,"4.60",False,"365","4","0.01095890410958904110"
"968158472503477954","Forest Hills","Private room",2,96,"4.97",True,"365","118","0.32328767123287671233"
"576779694848403067","Bedford-Stuyvesant","Entire home/apt",6,94,"4.74",False,"365","95","0.26027397260273972603"
"4440181","Bedford-Stuyvesant","Private room",2,13,"4.92",False,"365","365","1.00000000000000000000"
"1050048796422516580","East Village","Entire home/apt",2,4,"4.00",False,"365","30","0.08219178082191780822"
"25416257","Prospect-Lefferts Gardens","Entire home/apt",16,0,NULL,False,"365","365","1.00000000000000000000"
"27933214","Bergen Beach","Entire home/apt",2,147,"4.80",False,"365","182","0.49863013698630136986"
"5624807","Crown Heights","Entire home/apt",6,2,"5.00",False,"365","365","1.00000000000000000000"
"6676383","Clinton Hill","Entire home/apt",4,5,"4.80",False,"365","365","1.00000000000000000000"
"26344667","Harlem","Private room",2,4,"4.50",False,"365","365","1.00000000000000000000"
"766587114043547494","Midtown","Private room",2,1,"5.00",False,"365","365","1.00000000000000000000"
"38997592","South Slope","Entire home/apt",2,71,"4.99",False,"365","95","0.26027397260273972603"
"1353789074090447586","Cypress Hills","Entire home/apt",2,4,"5.00",False,"365","23","0.06301369863013698630"
"19700585","Sunnyside","Entire home/apt",2,8,"4.88",False,"365","365","1.00000000000000000000"
"10096773","Chelsea","Entire home/apt",2,1,"5.00",False,"365","365","1.00000000000000000000"
"49545608","Williamsburg","Entire home/apt",4,38,"4.87",True,"365","365","1.00000000000000000000"
"1558081626175412385","Ridgewood","Private room",1,0,NULL,False,"365","274","0.75068493150684931507"
"547150124220387168","Stapleton","Entire home/apt",2,15,"4.93",True,"365","34","0.09315068493150684932"
"35683483","Upper East Side","Entire home/apt",2,2,"5.00",False,"365","0","0.00000000000000000000"
"750494588662372881","Morris Park","Private room",2,11,"4.91",True,"365","214","0.58630136986301369863"
"1467539689846544825","Midtown","Entire home/apt",6,0,NULL,False,"365","195","0.53424657534246575342"
"1381344344644979753","Bedford-Stuyvesant","Shared room",1,0,NULL,False,"365","117","0.32054794520547945205"
"1546599239028221949","Flushing","Private room",1,0,NULL,True,"365","6","0.01643835616438356164"
"50736061","Mott Haven","Private room",1,1,"5.00",False,"365","365","1.00000000000000000000"
"26839660","Upper East Side","Entire home/apt",3,0,NULL,False,"365","187","0.51232876712328767123"
"1007250126684081182","Castle Hill","Private room",2,0,NULL,False,"365","96","0.26301369863013698630"
"22956955","Cypress Hills","Private room",2,16,"4.56",False,"365","365","1.00000000000000000000"
"1561133080526575659","Upper West Side","Shared room",1,0,NULL,False,"365","1","0.00273972602739726027"
"47101654","Bedford-Stuyvesant","Private room",1,1,"5.00",False,"365","180","0.49315068493150684932"
"1009234762958456511","Brownsville","Private room",1,2,"5.00",False,"365","275","0.75342465753424657534"
"49734537","Brighton Beach","Entire home/apt",3,7,"5.00",False,"365","96","0.26301369863013698630"
"19891590","Windsor Terrace","Entire home/apt",2,52,"4.94",False,"365","163","0.44657534246575342466"
"899872901354773320","Bushwick","Entire home/apt",3,10,"5.00",False,"365","365","1.00000000000000000000"
"1375678570648414210","Laurelton","Private room",1,2,"5.00",True,"365","302","0.82739726027397260274"
"34370526","Harlem","Entire home/apt",2,52,"4.71",True,"365","7","0.01917808219178082192"
"1383648026356907942","Flatbush","Entire home/apt",4,0,NULL,True,"365","211","0.57808219178082191781"
"35712515","Jamaica","Private room",2,53,"4.77",False,"365","1","0.00273972602739726027"
"14139170","Bushwick","Private room",2,9,"4.78",False,"365","365","1.00000000000000000000"
"644940552640814865","Chelsea","Entire home/apt",1,4,"4.50",False,"365","276","0.75616438356164383562"
"41466873","Upper East Side","Private room",2,0,NULL,False,"365","270","0.73972602739726027397"
"1043748005274694200","Upper West Side","Private room",2,0,NULL,False,"365","265","0.72602739726027397260"
"663802664162665250","Bushwick","Private room",1,7,"4.86",False,"365","156","0.42739726027397260274"
"40302589","SoHo","Entire home/apt",1,16,"4.75",False,"365","9","0.02465753424657534247"
"30089134","Maspeth","Entire home/apt",5,32,"4.28",False,"365","365","1.00000000000000000000"
"15820512","Williamsburg","Entire home/apt",2,126,"4.85",False,"365","365","1.00000000000000000000"
"22516899","Crown Heights","Private room",2,0,NULL,False,"365","365","1.00000000000000000000"
"1564637411182757213","Harlem","Private room",1,0,NULL,False,"365","243","0.66575342465753424658"
"21325114","Downtown Brooklyn","Private room",2,0,NULL,False,"365","365","1.00000000000000000000"
"34759503","Harlem","Private room",2,4,"5.00",False,"365","365","1.00000000000000000000"
"9510385","Astoria","Private room",1,59,"4.76",False,"365","1","0.00273972602739726027"
"20667471","Greenpoint","Entire home/apt",4,3,"5.00",False,"365","365","1.00000000000000000000"
"5520934","Williamsburg","Entire home/apt",2,10,"4.90",False,"365","2","0.00547945205479452055"
"924523082287697779","Hell's Kitchen","Entire home/apt",2,3,"4.67",False,"365","147","0.40273972602739726027"
"1150083229376322051","Harlem","Entire home/apt",5,1,"5.00",False,"365","123","0.33698630136986301370"
"26744053","Allerton","Private room",1,0,NULL,False,"365","365","1.00000000000000000000"
"46356028","Briarwood","Entire home/apt",2,9,"4.56",False,"365","10","0.02739726027397260274"
"42088954","Canarsie","Entire home/apt",2,62,"4.71",True,"365","46","0.12602739726027397260"
"28751496","Astoria","Entire home/apt",5,11,"4.55",False,"365","365","1.00000000000000000000"
"35995460","Financial District","Entire home/apt",1,52,"4.71",False,"365","152","0.41643835616438356164"
"13156982","Greenpoint","Entire home/apt",4,17,"4.88",False,"365","365","1.00000000000000000000"
"52614450","Clinton Hill","Private room",2,20,"4.80",False,"365","365","1.00000000000000000000"
"31214157","Kips Bay","Private room",2,11,"4.91",False,"365","365","1.00000000000000000000"
"45327468","Bedford-Stuyvesant","Private room",1,9,"4.78",False,"365","122","0.33424657534246575342"
"1409436664065007055","Harlem","Entire home/apt",4,1,"5.00",True,"365","43","0.11780821917808219178"
"33829791","Woodside","Private room",2,2,"3.00",False,"365","365","1.00000000000000000000"
"776759187442679676","Williamsburg","Entire home/apt",2,1,"5.00",False,"365","1","0.00273972602739726027"
"7294773","East Village","Entire home/apt",6,17,"4.82",True,"365","97","0.26575342465753424658"
"1450531415928096245","Murray Hill","Entire home/apt",4,0,NULL,False,"365","31","0.08493150684931506849"
"42390702","Upper East Side","Entire home/apt",4,0,NULL,False,"365","365","1.00000000000000000000"
"779838","Upper West Side","Entire home/apt",2,16,"4.56",False,"365","0","0.00000000000000000000"
"827462961830020987","East Harlem","Entire home/apt",4,5,"4.60",False,"365","1","0.00273972602739726027"
"68253","Astoria","Private room",1,0,NULL,False,"365","365","1.00000000000000000000"
"862392297051752336","Bedford-Stuyvesant","Entire home/apt",2,2,"3.00",False,"365","365","1.00000000000000000000"
"1463078492882185808","Greenwich Village","Entire home/apt",4,1,"5.00",False,"365","7","0.01917808219178082192"
"1163877488114193371","Tribeca","Entire home/apt",2,0,NULL,False,"365","2","0.00547945205479452055"
"8486828","Bedford-Stuyvesant","Private room",2,14,"4.71",False,"365","365","1.00000000000000000000"
"6759052","Bedford-Stuyvesant","Private room",1,1,"5.00",False,"365","365","1.00000000000000000000"
"1479552594208651789","Midtown","Private room",2,1,"5.00",False,"365","312","0.85479452054794520548"
"949486536388006369","Jackson Heights","Private room",2,75,"4.87",True,"365","168","0.46027397260273972603"
"20206749","Greenpoint","Entire home/apt",4,0,NULL,False,"365","365","1.00000000000000000000"
"9532048","Crown Heights","Private room",2,0,NULL,False,"365","365","1.00000000000000000000"
"46417510","Bushwick","Entire home/apt",2,0,NULL,False,"365","195","0.53424657534246575342"
"4173751","Harlem","Entire home/apt",2,4,"4.50",False,"365","365","1.00000000000000000000"
"16230640","Upper West Side","Private room",2,3,"5.00",False,"365","365","1.00000000000000000000"
"35550080","Whitestone","Private room",1,8,"4.75",False,"365","365","1.00000000000000000000"
"701478587424915639","Bedford-Stuyvesant","Private room",1,1,"3.00",False,"365","28","0.07671232876712328767"
"26874326","New Brighton","Private room",2,23,"4.74",True,"365","208","0.56986301369863013699"
"45449294","Midtown","Entire home/apt",3,0,NULL,False,"365","80","0.21917808219178082192"
"886124063208895750","Coney Island","Private room",2,5,"4.80",True,"365","0","0.00000000000000000000"
"679620321278287273","Crown Heights","Entire home/apt",2,4,"5.00",False,"365","365","1.00000000000000000000"
"1177419977162681836","Fort Hamilton","Entire home/apt",2,77,"4.77",False,"365","12","0.03287671232876712329"
"579764154480991074","Midtown","Entire home/apt",3,8,"4.25",False,"365","365","1.00000000000000000000"
"806094615394129673","Long Island City","Private room",1,0,NULL,False,"365","1","0.00273972602739726027"
"680477646462919105","Bedford-Stuyvesant","Entire home/apt",3,14,"4.79",False,"365","59","0.16164383561643835616"
"802000625835644351","Clinton Hill","Entire home/apt",4,0,NULL,False,"365","332","0.90958904109589041096"
"3585309","Flushing","Entire home/apt",9,14,"4.93",False,"365","365","1.00000000000000000000"
"602928733998502439","Greenpoint","Entire home/apt",2,9,"5.00",False,"365","276","0.75616438356164383562"
"8444730","Greenwich Village","Entire home/apt",2,3,"4.67",False,"365","365","1.00000000000000000000"
"26064779","Bedford-Stuyvesant","Private room",2,92,"4.82",False,"365","186","0.50958904109589041096"
"14213699","Hell's Kitchen","Entire home/apt",3,1,"3.00",False,"365","6","0.01643835616438356164"
"43423642","Bedford-Stuyvesant","Private room",2,1,"5.00",False,"365","365","1.00000000000000000000"
"50106057","Springfield Gardens","Entire home/apt",4,29,"4.59",False,"365","19","0.05205479452054794521"
"1141375785847953036","Randall Manor","Private room",3,15,"5.00",False,"365","281","0.76986301369863013699"
"21683672","Upper West Side","Private room",2,0,NULL,False,"365","365","1.00000000000000000000"
"41007370","Randall Manor","Private room",1,22,"5.00",False,"365","134","0.36712328767123287671"
"1116643396778760404","Brighton Beach","Entire home/apt",2,2,"5.00",True,"365","365","1.00000000000000000000"
"48982479","Crown Heights","Private room",1,1,"3.00",False,"365","0","0.00000000000000000000"
"1231928660362309154","East Flatbush","Entire home/apt",2,0,NULL,False,"365","299","0.81917808219178082192"
"1189827119365775359","Hell's Kitchen","Entire home/apt",2,0,NULL,False,"365","2","0.00547945205479452055"
"53561733","Midtown","Entire home/apt",3,2,"5.00",False,"365","218","0.59726027397260273973"
"12170991","Upper West Side","Private room",2,2,"4.00",False,"365","365","1.00000000000000000000"
"1233279651224739877","Bedford-Stuyvesant","Private room",2,0,NULL,True,"365","365","1.00000000000000000000"
"37086914","Williamsburg","Entire home/apt",2,5,"4.60",False,"365","154","0.42191780821917808219"
"1268464235583305425","Brownsville","Private room",1,0,NULL,False,"365","278","0.76164383561643835616"
"26450631","Woodside","Entire home/apt",7,237,"4.82",False,"365","185","0.50684931506849315068"
"52987956","Upper West Side","Private room",4,0,NULL,False,"365","361","0.98904109589041095890"
"1371096228043481841","Clinton Hill","Entire home/apt",4,0,NULL,False,"365","148","0.40547945205479452055"
"757277022393109416","Hell's Kitchen","Entire home/apt",5,4,"4.25",False,"365","1","0.00273972602739726027"
"1558384549766151917","Ozone Park","Private room",1,0,NULL,False,"365","0","0.00000000000000000000"
"1489525490622230147","Flushing","Shared room",1,1,"4.00",True,"365","181","0.49589041095890410959"
"37210398","Astoria","Entire home/apt",3,0,NULL,False,"365","365","1.00000000000000000000"
